Date,Close,,行标签,平均值项:Close,,,,,,
1971/5/28,99.629997,,,,,,,,,
1971/6/1,100.199997,,,,,,,,,
1971/6/2,100.959999,,,,,,,,,
1971/6/3,101.010002,,,,,,,,,
1971/6/4,101.300003,,,,,,,,,
1971/6/7,101.089996,,,,,,,,,
1971/6/8,100.32,,,,,,,,,
1971/6/9,100.290001,,,,,,,,,
1971/6/10,100.639999,,,,,,,,,
1971/6/11,101.07,,,,,,,,,
1971/6/14,100.220001,,,,,,,,,
1971/6/15,100.32,,,,,,,,,
1971/6/16,100.519997,,,,,,,,,
1971/6/17,100.5,,,,,,,,,
1971/6/18,98.970001,,,,,,,,,
1971/6/21,97.870003,,,,,,,,,
1971/6/22,97.589996,,,,,,,,,
1971/6/23,98.410004,,,,,,,,,
1971/6/24,98.129997,,,,,,,,,
1971/6/25,97.989998,,,,,,,,,
1971/6/28,97.739998,,,,,,,,,
1971/6/29,98.82,,,,,,,,,
1971/6/30,98.699997,,,,,,,,,
1971/7/1,99.779999,,,,,,,,,
1971/7/2,99.779999,,,,,,,,,
1971/7/6,99.760002,,,,,,,,,
1971/7/7,100.040001,,,,,,,,,
1971/7/8,100.339996,,,,,,,,,
1971/7/9,100.690002,,,,,,,,,
1971/7/12,100.82,,,,,,,,,
1971/7/13,99.5,,,,,,,,,
1971/7/14,99.220001,,,,,,,,,
1971/7/15,99.279999,,,,,,,,,
1971/7/16,99.110001,,,,,,,,,
1971/7/19,98.93,,,,,,,,,
1971/7/20,99.32,,,,,,,,,
1971/7/21,99.279999,,,,,,,,,
1971/7/22,99.110001,,,,,,,,,
1971/7/23,98.940002,,,,,,,,,
1971/7/26,98.139999,,,,,,,,,
1971/7/27,97.779999,,,,,,,,,
1971/7/28,97.07,,,,,,,,,
1971/7/29,96.019997,,,,,,,,,
1971/7/30,95.580002,,,,,,,,,
1971/8/2,95.959999,,,,,,,,,
1971/8/3,94.510002,,,,,,,,,
1971/8/4,93.889999,,,,,,,,,
1971/8/5,94.089996,,,,,,,,,
1971/8/6,94.25,,,,,,,,,
1971/8/9,93.529999,,,,,,,,,
1971/8/10,93.540001,,,,,,,,,
1971/8/11,94.660004,,,,,,,,,
1971/8/12,96,,,,,,,,,
1971/8/13,95.690002,,,,,,,,,
1971/8/16,98.760002,,,,,,,,,
1971/8/17,99.989998,,,,,,,,,
1971/8/18,98.599998,,,,,,,,,
1971/8/19,98.160004,,,,,,,,,
1971/8/20,98.330002,,,,,,,,,
1971/8/23,99.25,,,,,,,,,
1971/8/24,100.400002,,,,,,,,,
1971/8/25,100.410004,,,,,,,,,
1971/8/26,100.239998,,,,,,,,,
1971/8/27,100.480003,,,,,,,,,
1971/8/30,99.519997,,,,,,,,,
1971/8/31,99.029999,,,,,,,,,
1971/9/1,99.07,,,,,,,,,
1971/9/2,99.290001,,,,,,,,,
1971/9/3,100.690002,,,,,,,,,
1971/9/7,101.150002,,,,,,,,,
1971/9/8,101.339996,,,,,,,,,
1971/9/9,100.800003,,,,,,,,,
1971/9/10,100.419998,,,,,,,,,
1971/9/13,100.07,,,,,,,,,
1971/9/14,99.339996,,,,,,,,,
1971/9/15,99.769997,,,,,,,,,
1971/9/16,99.660004,,,,,,,,,
1971/9/17,99.959999,,,,,,,,,
1971/9/20,99.68,,,,,,,,,
1971/9/21,99.339996,,,,,,,,,
1971/9/22,98.470001,,,,,,,,,
1971/9/23,98.379997,,,,,,,,,
1971/9/24,98.150002,,,,,,,,,
1971/9/27,97.620003,,,,,,,,,
1971/9/28,97.879997,,,,,,,,,
1971/9/29,97.900002,,,,,,,,,
1971/9/30,98.339996,,,,,,,,,
1971/10/1,98.93,,,,,,,,,
1971/10/4,99.209999,,,,,,,,,
1971/10/5,99.110001,,,,,,,,,
1971/10/6,99.82,,,,,,,,,
1971/10/7,100.019997,,,,,,,,,
1971/10/8,99.360001,,,,,,,,,
1971/10/11,99.209999,,,,,,,,,
1971/10/12,99.57,,,,,,,,,
1971/10/13,99.029999,,,,,,,,,
1971/10/14,98.129997,,,,,,,,,
1971/10/15,97.790001,,,,,,,,,
1971/10/18,97.349998,,,,,,,,,
1971/10/19,97,,,,,,,,,
1971/10/20,95.650002,,,,,,,,,
1971/10/21,95.599998,,,,,,,,,
1971/10/22,95.57,,,,,,,,,
1971/10/25,95.099998,,,,,,,,,
1971/10/26,94.739998,,,,,,,,,
1971/10/27,93.790001,,,,,,,,,
1971/10/28,93.959999,,,,,,,,,
1971/10/29,94.230003,,,,,,,,,
1971/11/1,92.800003,,,,,,,,,
1971/11/2,93.18,,,,,,,,,
1971/11/3,94.910004,,,,,,,,,
1971/11/4,94.790001,,,,,,,,,
1971/11/5,94.459999,,,,,,,,,
1971/11/8,94.389999,,,,,,,,,
1971/11/9,94.459999,,,,,,,,,
1971/11/10,93.410004,,,,,,,,,
1971/11/11,92.120003,,,,,,,,,
1971/11/12,92.120003,,,,,,,,,
1971/11/15,91.809998,,,,,,,,,
1971/11/16,92.709999,,,,,,,,,
1971/11/17,92.849998,,,,,,,,,
1971/11/18,92.129997,,,,,,,,,
1971/11/19,91.610001,,,,,,,,,
1971/11/22,90.790001,,,,,,,,,
1971/11/23,90.160004,,,,,,,,,
1971/11/24,90.330002,,,,,,,,,
1971/11/26,91.940002,,,,,,,,,
1971/11/29,93.410004,,,,,,,,,
1971/11/30,93.989998,,,,,,,,,
1971/12/1,95.440002,,,,,,,,,
1971/12/2,95.839996,,,,,,,,,
1971/12/3,97.059998,,,,,,,,,
1971/12/6,96.510002,,,,,,,,,
1971/12/7,96.870003,,,,,,,,,
1971/12/8,96.919998,,,,,,,,,
1971/12/9,96.959999,,,,,,,,,
1971/12/10,97.690002,,,,,,,,,
1971/12/13,97.970001,,,,,,,,,
1971/12/14,97.669998,,,,,,,,,
1971/12/15,98.540001,,,,,,,,,
1971/12/16,99.739998,,,,,,,,,
1971/12/17,100.260002,,,,,,,,,
1971/12/20,101.550003,,,,,,,,,
1971/12/21,101.800003,,,,,,,,,
1971/12/22,101.18,,,,,,,,,
1971/12/23,100.739998,,,,,,,,,
1971/12/27,100.949997,,,,,,,,,
1971/12/28,101.949997,,,,,,,,,
1971/12/29,102.209999,,,,,,,,,
1971/12/30,101.779999,,,,,,,,,
1971/12/31,102.089996,,,,,,,,,
1972/1/3,101.669998,,,,,,,,,
1972/1/4,102.089996,,,,,,,,,
1972/1/5,103.059998,,,,,,,,,
1972/1/6,103.510002,,,,,,,,,
1972/1/7,103.470001,,,,,,,,,
1972/1/10,103.32,,,,,,,,,
1972/1/11,103.650002,,,,,,,,,
1972/1/12,103.589996,,,,,,,,,
1972/1/13,102.989998,,,,,,,,,
1972/1/14,103.389999,,,,,,,,,
1972/1/17,103.699997,,,,,,,,,
1972/1/18,104.050003,,,,,,,,,
1972/1/19,103.879997,,,,,,,,,
1972/1/20,103.879997,,,,,,,,,
1972/1/21,103.650002,,,,,,,,,
1972/1/24,102.57,,,,,,,,,
1972/1/25,102.699997,,,,,,,,,
1972/1/26,102.5,,,,,,,,,
1972/1/27,103.5,,,,,,,,,
1972/1/28,104.160004,,,,,,,,,
1972/1/31,103.940002,,,,,,,,,
1972/2/1,104.010002,,,,,,,,,
1972/2/2,104.68,,,,,,,,,
1972/2/3,104.639999,,,,,,,,,
1972/2/4,104.860001,,,,,,,,,
1972/2/7,104.540001,,,,,,,,,
1972/2/8,104.739998,,,,,,,,,
1972/2/9,105.550003,,,,,,,,,
1972/2/10,105.589996,,,,,,,,,
1972/2/11,105.080002,,,,,,,,,
1972/2/14,104.589996,,,,,,,,,
1972/2/15,105.029999,,,,,,,,,
1972/2/16,105.620003,,,,,,,,,
1972/2/17,105.589996,,,,,,,,,
1972/2/18,105.279999,,,,,,,,,
1972/2/22,105.290001,,,,,,,,,
1972/2/23,105.379997,,,,,,,,,
1972/2/24,105.449997,,,,,,,,,
1972/2/25,106.18,,,,,,,,,
1972/2/28,106.190002,,,,,,,,,
1972/2/29,106.57,,,,,,,,,
1972/3/1,107.349998,,,,,,,,,
1972/3/2,107.32,,,,,,,,,
1972/3/3,107.940002,,,,,,,,,
1972/3/6,108.769997,,,,,,,,,
1972/3/7,108.870003,,,,,,,,,
1972/3/8,108.959999,,,,,,,,,
1972/3/9,108.940002,,,,,,,,,
1972/3/10,108.379997,,,,,,,,,
1972/3/13,107.330002,,,,,,,,,
1972/3/14,107.610001,,,,,,,,,
1972/3/15,107.75,,,,,,,,,
1972/3/16,107.5,,,,,,,,,
1972/3/17,107.919998,,,,,,,,,
1972/3/20,107.589996,,,,,,,,,
1972/3/21,106.690002,,,,,,,,,
1972/3/22,106.839996,,,,,,,,,
1972/3/23,107.75,,,,,,,,,
1972/3/24,107.519997,,,,,,,,,
1972/3/27,107.300003,,,,,,,,,
1972/3/28,107.169998,,,,,,,,,
1972/3/29,106.489998,,,,,,,,,
1972/3/30,107.199997,,,,,,,,,
1972/4/3,107.480003,,,,,,,,,
1972/4/4,108.120003,,,,,,,,,
1972/4/5,109,,,,,,,,,
1972/4/6,109.529999,,,,,,,,,
1972/4/7,109.620003,,,,,,,,,
1972/4/10,109.449997,,,,,,,,,
1972/4/11,109.760002,,,,,,,,,
1972/4/12,110.18,,,,,,,,,
1972/4/13,109.910004,,,,,,,,,
1972/4/14,109.839996,,,,,,,,,
1972/4/17,109.510002,,,,,,,,,
1972/4/18,109.769997,,,,,,,,,
1972/4/19,109.199997,,,,,,,,,
1972/4/20,109.040001,,,,,,,,,
1972/4/21,108.889999,,,,,,,,,
1972/4/24,108.190002,,,,,,,,,
1972/4/25,107.120003,,,,,,,,,
1972/4/26,106.889999,,,,,,,,,
1972/4/27,107.050003,,,,,,,,,
1972/4/28,107.669998,,,,,,,,,
1972/5/1,106.690002,,,,,,,,,
1972/5/2,106.080002,,,,,,,,,
1972/5/3,105.989998,,,,,,,,,
1972/5/4,106.25,,,,,,,,,
1972/5/5,106.629997,,,,,,,,,
1972/5/8,106.139999,,,,,,,,,
1972/5/9,104.739998,,,,,,,,,
1972/5/10,105.419998,,,,,,,,,
1972/5/11,105.769997,,,,,,,,,
1972/5/12,106.379997,,,,,,,,,
1972/5/15,106.860001,,,,,,,,,
1972/5/16,106.660004,,,,,,,,,
1972/5/17,106.889999,,,,,,,,,
1972/5/18,107.940002,,,,,,,,,
1972/5/19,108.980003,,,,,,,,,
1972/5/22,109.690002,,,,,,,,,
1972/5/23,109.779999,,,,,,,,,
1972/5/24,110.309998,,,,,,,,,
1972/5/25,110.459999,,,,,,,,,
1972/5/26,110.660004,,,,,,,,,
1972/5/30,110.349998,,,,,,,,,
1972/5/31,109.529999,,,,,,,,,
1972/6/1,109.690002,,,,,,,,,
1972/6/2,109.730003,,,,,,,,,
1972/6/5,108.82,,,,,,,,,
1972/6/6,108.209999,,,,,,,,,
1972/6/7,107.650002,,,,,,,,,
1972/6/8,107.279999,,,,,,,,,
1972/6/9,106.860001,,,,,,,,,
1972/6/12,107.010002,,,,,,,,,
1972/6/13,107.550003,,,,,,,,,
1972/6/14,108.389999,,,,,,,,,
1972/6/15,108.440002,,,,,,,,,
1972/6/16,108.360001,,,,,,,,,
1972/6/19,108.110001,,,,,,,,,
1972/6/20,108.559998,,,,,,,,,
1972/6/21,108.790001,,,,,,,,,
1972/6/22,108.68,,,,,,,,,
1972/6/23,108.269997,,,,,,,,,
1972/6/26,107.480003,,,,,,,,,
1972/6/27,107.370003,,,,,,,,,
1972/6/28,107.019997,,,,,,,,,
1972/6/29,106.82,,,,,,,,,
1972/6/30,107.139999,,,,,,,,,
1972/7/3,107.489998,,,,,,,,,
1972/7/5,108.099998,,,,,,,,,
1972/7/6,109.040001,,,,,,,,,
1972/7/7,108.690002,,,,,,,,,
1972/7/10,108.110001,,,,,,,,,
1972/7/11,107.32,,,,,,,,,
1972/7/12,106.889999,,,,,,,,,
1972/7/13,106.279999,,,,,,,,,
1972/7/14,106.800003,,,,,,,,,
1972/7/17,105.879997,,,,,,,,,
1972/7/18,105.830002,,,,,,,,,
1972/7/19,106.139999,,,,,,,,,
1972/7/20,105.809998,,,,,,,,,
1972/7/21,106.660004,,,,,,,,,
1972/7/24,107.919998,,,,,,,,,
1972/7/25,107.599998,,,,,,,,,
1972/7/26,107.529999,,,,,,,,,
1972/7/27,107.279999,,,,,,,,,
1972/7/28,107.379997,,,,,,,,,
1972/7/31,107.389999,,,,,,,,,
1972/8/1,108.400002,,,,,,,,,
1972/8/2,109.290001,,,,,,,,,
1972/8/3,110.139999,,,,,,,,,
1972/8/4,110.43,,,,,,,,,
1972/8/7,110.610001,,,,,,,,,
1972/8/8,110.690002,,,,,,,,,
1972/8/9,110.860001,,,,,,,,,
1972/8/10,111.050003,,,,,,,,,
1972/8/11,111.949997,,,,,,,,,
1972/8/14,112.550003,,,,,,,,,
1972/8/15,112.059998,,,,,,,,,
1972/8/16,111.660004,,,,,,,,,
1972/8/17,111.339996,,,,,,,,,
1972/8/18,111.760002,,,,,,,,,
1972/8/21,111.720001,,,,,,,,,
1972/8/22,112.410004,,,,,,,,,
1972/8/23,112.260002,,,,,,,,,
1972/8/24,111.019997,,,,,,,,,
1972/8/25,110.669998,,,,,,,,,
1972/8/28,110.230003,,,,,,,,,
1972/8/29,110.410004,,,,,,,,,
1972/8/30,110.57,,,,,,,,,
1972/8/31,111.089996,,,,,,,,,
1972/9/1,111.510002,,,,,,,,,
1972/9/5,111.230003,,,,,,,,,
1972/9/6,110.550003,,,,,,,,,
1972/9/7,110.290001,,,,,,,,,
1972/9/8,110.150002,,,,,,,,,
1972/9/11,109.510002,,,,,,,,,
1972/9/12,108.470001,,,,,,,,,
1972/9/13,108.900002,,,,,,,,,
1972/9/14,108.93,,,,,,,,,
1972/9/15,108.809998,,,,,,,,,
1972/9/18,108.610001,,,,,,,,,
1972/9/19,108.550003,,,,,,,,,
1972/9/20,108.599998,,,,,,,,,
1972/9/21,108.43,,,,,,,,,
1972/9/22,108.519997,,,,,,,,,
1972/9/25,108.050003,,,,,,,,,
1972/9/26,108.120003,,,,,,,,,
1972/9/27,109.660004,,,,,,,,,
1972/9/28,110.349998,,,,,,,,,
1972/9/29,110.550003,,,,,,,,,
1972/10/2,110.160004,,,,,,,,,
1972/10/3,110.300003,,,,,,,,,
1972/10/4,110.089996,,,,,,,,,
1972/10/5,108.889999,,,,,,,,,
1972/10/6,109.620003,,,,,,,,,
1972/10/9,109.900002,,,,,,,,,
1972/10/10,109.989998,,,,,,,,,
1972/10/11,109.5,,,,,,,,,
1972/10/12,108.599998,,,,,,,,,
1972/10/13,107.919998,,,,,,,,,
1972/10/16,106.769997,,,,,,,,,
1972/10/17,107.5,,,,,,,,,
1972/10/18,108.190002,,,,,,,,,
1972/10/19,108.050003,,,,,,,,,
1972/10/20,109.239998,,,,,,,,,
1972/10/23,110.349998,,,,,,,,,
1972/10/24,110.809998,,,,,,,,,
1972/10/25,110.720001,,,,,,,,,
1972/10/26,110.989998,,,,,,,,,
