DATE,FEDFUNDS,,,,,
1976/5/1,5.29,0.0529,,0.079,,0.0261
1976/6/1,5.48,0.0548,,0.0786,,0.0238
1976/7/1,5.31,0.0531,,0.0783,,0.0252
1976/8/1,5.29,0.0529,,0.0777,,0.0248
1976/9/1,5.25,0.0525,,0.0759,,0.0234
1976/10/1,5.02,0.0502,,0.0741,,0.0239
1976/11/1,4.95,0.0495,,0.0729,,0.0234
1976/12/1,4.65,0.0465,,0.0687,,0.0222
1977/1/1,4.61,0.0461,,0.0721,,0.026
1977/2/1,4.68,0.0468,,0.0739,,0.0271
1977/3/1,4.69,0.0469,,0.0746,,0.0277
1977/4/1,4.73,0.0473,,0.0737,,0.0264
1977/5/1,5.35,0.0535,,0.0746,,0.0211
1977/6/1,5.39,0.0539,,0.0728,,0.0189
1977/7/1,5.42,0.0542,,0.0733,,0.0191
1977/8/1,5.9,0.059,,0.074,,0.015
1977/9/1,6.14,0.0614,,0.0734,,0.012
1977/10/1,6.47,0.0647,,0.0752,,0.0105
1977/11/1,6.51,0.0651,,0.0758,,0.0107
1977/12/1,6.56,0.0656,,0.0769,,0.0113
1978/1/1,6.7,0.067,,0.0796,,0.0126
1978/2/1,6.78,0.0678,,0.0803,,0.0125
1978/3/1,6.79,0.0679,,0.0804,,0.0125
1978/4/1,6.89,0.0689,,0.0815,,0.0126
1978/5/1,7.36,0.0736,,0.0835,,0.0099
1978/6/1,7.6,0.076,,0.0846,,0.0086
1978/7/1,7.81,0.0781,,0.0864,,0.0083
1978/8/1,8.04,0.0804,,0.0841,,0.0037
1978/9/1,8.45,0.0845,,0.0842,,-0.0003
1978/10/1,8.96,0.0896,,0.0864,,-0.0032
1978/11/1,9.76,0.0976,,0.0881,,-0.0095
1978/12/1,10.03,0.1003,,0.0901,,-0.0102
1979/1/1,10.07,0.1007,,0.091,,-0.0097
1979/2/1,10.06,0.1006,,0.091,,-0.0096
1979/3/1,10.09,0.1009,,0.0912,,-0.0097
1979/4/1,10.01,0.1001,,0.0918,,-0.0083
1979/5/1,10.24,0.1024,,0.0925,,-0.0099
1979/6/1,10.29,0.1029,,0.0891,,-0.0138
1979/7/1,10.47,0.1047,,0.0895,,-0.0152
1979/8/1,10.94,0.1094,,0.0903,,-0.0191
1979/9/1,11.43,0.1143,,0.0933,,-0.021
1979/10/1,13.77,0.1377,,0.103,,-0.0347
1979/11/1,13.18,0.1318,,0.1065,,-0.0253
