va_1,va_2,va_3,va_4,labels
-0.001077351,-0.014780962,58.1,0.0583,0
-0.001288084,0.005970648,58.9,0.0639,0
-4.27E-05,0.008526729,55.4,0.0652,0
-0.000371637,0.003019967,56.8,0.0673,0
-0.000353065,0.007681662,55.6,0.0658,0
-0.00146398,-0.009522756,59.3,0.0614,0
-0.000169769,0.009284531,60.8,0.0593,0
-0.001240937,0.020633063,56.1,0.0581,0
-0.001580834,-0.028924187,63.9,0.0593,0
-0.001994964,-0.017717983,65.6,0.0595,0
-0.001239226,-0.008098904,67.7,0.0608,0
-0.001765912,-0.00998399,63.5,0.0607,0
-0.001295994,-0.004495596,62.6,0.0619,0
-0.00181856,0.004677108,65.7,0.0613,0
-0.001705003,-0.001470101,62.2,0.0611,0
0.000288613,0.003242654,65.3,0.0611,0
-0.00253792,-0.015128758,63.2,0.0621,0
-0.000719898,0.006376257,68.3,0.0655,0
-0.002391078,-0.000687192,66.9,0.0648,0
-0.001735474,-0.021212464,72.7,0.0628,0
-0.001705487,-0.009152844,71.8,0.0636,0
-0.002009067,-0.003403902,71.1,0.0646,0
-0.002274143,0.015902062,68.5,0.0664,0
-0.001539871,0.006703962,67.7,0.0671,0
-0.000972435,0.008352892,65.6,0.0667,0
-0.001094935,0.012199164,59.2,0.0685,0
-0.001352089,0.01010019,62.7,0.069,0
-0.000146836,-0.004452607,50.4,0.0713,0
-0.001437493,0.008430846,59,0.074,0
-0.000607389,-0.00749003,58.2,0.0709,0
-0.001856262,-0.017092152,58.4,0.0679,0
-0.001748048,0.032037668,62,0.0673,0
-0.000618229,0.032005016,56,0.0674,1
-0.000383861,-0.006033546,55.9,0.0699,1
-0.000855512,0.012174593,49.7,0.0696,1
-0.000233029,-0.018139044,55.8,0.0721,1
-0.000476765,0.022797031,54.5,0.0751,1
-0.00092432,0.013302035,51.6,0.0758,1
-0.000303987,-0.000577077,50.4,0.0754,1
-0.000176767,0.035080581,52,0.0781,1
9.39E-05,0.037174027,49.6,0.0804,1
4.97E-05,0.04766267,46.3,0.0804,1
-0.000110479,-0.008288754,44.3,0.079,1
0.002020686,-0.014160697,40.9,0.0768,1
0.003414944,0.029193322,33.4,0.0743,1
0.002012482,-0.034171869,33.4,0.075,1
0.002112181,-0.042893633,41.5,0.0739,1
0.001527156,-0.01979443,33.1,0.0773,1
0.001066533,-0.004592434,45.5,0.0823,0
-0.000930526,-0.02670417,50.5,0.0806,0
0.000584183,-0.010952117,53.1,0.0786,0
-0.001410904,-0.00042343,55.8,0.0806,0
-0.002161277,0.033031177,61.1,0.084,0
-0.00042197,0.005309027,62.3,0.0843,0
-0.001751009,-0.019566193,62.3,0.0814,0
-0.000811373,-0.00724936,60,0.0805,0
-0.001852076,0.006631477,62.4,0.08,0
-0.002697007,-0.038216484,65.6,0.0774,0
-0.001728136,-0.01662603,64.8,0.0779,0
-0.001276496,-0.001915555,63.3,0.0773,0
-0.001338486,-0.003616081,64.1,0.0756,0
-0.000109529,0.003282592,60.5,0.079,0
-0.000350308,-0.002588793,60.5,0.0786,0
-0.000934596,-0.010265495,56.7,0.0783,0
-0.000856312,0.003805767,52.9,0.0777,0
-0.001023176,-0.008994388,53.2,0.0759,0
